"id","associated_table_id:id","code","description","reference"
"catalog_sunat_4_BBD","4","BBD","Barbados Dollar","Barbados"
"catalog_sunat_4_BDT","4","BDT","Taka","Bangladesh"
"catalog_sunat_4_BGN","4","BGN","Bulgarian Lev","Bulgaria"
"catalog_sunat_4_BHD","4","BHD","Bahraini Dinar","Bahréin"
"catalog_sunat_4_BIF","4","BIF","Burundi Franc","Burundi"
"catalog_sunat_4_BMD","4","BMD","Bermudian Dollar (customarily known as Bermuda Dollar)","Bermudas"
"catalog_sunat_4_BND","4","BND","Brunei Dollar","Brunéi Darussalam"
"catalog_sunat_4_BOB","4","BOB","Boliviano","Bolivia"
"catalog_sunat_4_BOV","4","BOV","Mvdol","Bolivia"
"catalog_sunat_4_BRL","4","BRL","Brazilian Real","Brasil"
"catalog_sunat_4_BSD","4","BSD","Bahamian Dollar","Bahamas"
"catalog_sunat_4_BTN","4","BTN","Ngultrum","Bután"
"catalog_sunat_4_BWP","4","BWP","Pula","Botsuana"
"catalog_sunat_4_BYR","4","BYR","Belarussian Ruble","Bielorrusia"
"catalog_sunat_4_BZD","4","BZD","Belize Dollar","Belice"
"catalog_sunat_4_CAD","4","CAD","Canadian Dollar","Canadá"
"catalog_sunat_4_CDF","4","CDF","Congolese Franc","República Democrática del Congo"
"catalog_sunat_4_CHE","4","CHE","WIR Euro","Suiza"
"catalog_sunat_4_CHF","4","CHF","Swiss Franc","Suiza"
"catalog_sunat_4_CHW","4","CHW","WIR Franc","Suiza"
"catalog_sunat_4_CLF","4","CLF","Unidades de fomento","Chile"
"catalog_sunat_4_CLP","4","CLP","Chilean Peso","Chile"
"catalog_sunat_4_CNY","4","CNY","Yuan Renminbi","China (República Popular)"
"catalog_sunat_4_COP","4","COP","Colombian Peso","Colombia"
"catalog_sunat_4_COU","4","COU","Unidad de Valor Real","Colombia"
"catalog_sunat_4_CRC","4","CRC","Costa Rican Colon","Costa Rica"
"catalog_sunat_4_CUC","4","CUC","Peso Convertible","Cuba"
"catalog_sunat_4_CUP","4","CUP","Cuban Peso","Cuba"
"catalog_sunat_4_CVE","4","CVE","Cape Verde Escudo","Cabo Verde"
"catalog_sunat_4_CZK","4","CZK","Czech Koruna","República Checa"
"catalog_sunat_4_DJF","4","DJF","Djibouti Franc","Yibuti"
"catalog_sunat_4_DKK","4","DKK","Danish Krone","Dinamarca"
"catalog_sunat_4_DOP","4","DOP","Dominican Peso","República Dominicana"
"catalog_sunat_4_DZD","4","DZD","Algerian Dinar","Argelia"
"catalog_sunat_4_EEK","4","EEK","Kroon","Estonia"
"catalog_sunat_4_EGP","4","EGP","Egyptian Pound","Egipto"
"catalog_sunat_4_ERN","4","ERN","Nakfa","Eritrea"
"catalog_sunat_4_ETB","4","ETB","Ethiopian Birr","Etiopía"
"catalog_sunat_4_EUR","4","EUR","Euro","Unión Europea"
"catalog_sunat_4_FJD","4","FJD","Fiji Dollar","Fiyi"
"catalog_sunat_4_FKP","4","FKP","Falkland Islands Pound","Islas Malvinas"
"catalog_sunat_4_GBP","4","GBP","Pound Sterling","Reino Unido"
"catalog_sunat_4_GEL","4","GEL","Lari","Georgia"
"catalog_sunat_4_GHS","4","GHS","Cedi","Ghana"
"catalog_sunat_4_GIP","4","GIP","Gibraltar Pound","Gibraltar"
"catalog_sunat_4_GMD","4","GMD","Dalasi","Gambia"
"catalog_sunat_4_GNF","4","GNF","Guinea Franc","Guinea"
"catalog_sunat_4_GTQ","4","GTQ","Quetzal","Guatemala"
"catalog_sunat_4_GYD","4","GYD","Guyana Dollar","Guyana"
"catalog_sunat_4_HKD","4","HKD","Hong Kong Dollar","Hong Kong"
"catalog_sunat_4_HNL","4","HNL","Lempira","Honduras"
"catalog_sunat_4_HRK","4","HRK","Croatian Kuna","Croacia"
"catalog_sunat_4_HTG","4","HTG","Gourde","Haití"
"catalog_sunat_4_HUF","4","HUF","Forint","Hungría"
"catalog_sunat_4_IDR","4","IDR","Rupiah","Indonesia"
"catalog_sunat_4_ILS","4","ILS","New Israeli Sheqel","Israel"
"catalog_sunat_4_INR","4","INR","Indian Rupee","India"
"catalog_sunat_4_IQD","4","IQD","Iraqi Dinar","Iraq"
"catalog_sunat_4_IRR","4","IRR","Iranian Rial","Irán"
"catalog_sunat_4_ISK","4","ISK","Iceland Krona","Islandia"
"catalog_sunat_4_JMD","4","JMD","Jamaican Dollar","Jamaica"
"catalog_sunat_4_JOD","4","JOD","Jordanian Dinar","Jordania"
"catalog_sunat_4_JPY","4","JPY","Yen","Japón"
"catalog_sunat_4_KES","4","KES","Kenyan Shilling","Kenia"
"catalog_sunat_4_KGS","4","KGS","Som","Kirguistán"
"catalog_sunat_4_KHR","4","KHR","Riel","Camboya"
"catalog_sunat_4_KMF","4","KMF","Comoro Franc","Comoras"
"catalog_sunat_4_KPW","4","KPW","North Korean Won","Corea (del Norte)"
